party,date,text,cmp_code,eu_code
43110,199910,For a sustainable Switzerland,NA,NA
43110,199910,Election platform 1999,NA,NA
43110,199910,"The Greens are pleased to present an election platform for an ecological, social and open-minded Switzerland.",501,NA
43110,199910,- to briefly present a sustainable Switzerland.,601,NA
43110,199910,"In responsibility towards future generations, we are committed to the preservation of livelihoods, human rights",201,NA
43110,199910,and the reduction of disparities between rich and poor.,503,NA
43110,199910,Think globally - act in Switzerland: for a long-term oriented parliament 99.,107,NA
43110,199910,Sustainable with an environmental offensive.,501,NA
43110,199910,We want to move Switzerland forward ecologically.,501,NA
43110,199910,"At its core is ecological tax reform, which reduces energy consumption and creates jobs.",501,NA
43110,199910,"Phasing out nuclear energy by 2014 at the latest,",501,NA
43110,199910,"Climate protection,",501,NA
43110,199910,Shifting heavy goods traffic to rail,501,NA
43110,199910,and organic farming instead of genetic engineering are further points of our program.,501,NA
43110,199910,Such commitment is essential to provide acceptable living conditions for the people of the South and for future generations.,501,NA
43110,199910,Sustainable with a social Switzerland.,503,NA
43110,199910,We want a Switzerland in which social security is also guaranteed in the future.,503,NA
43110,199910,"The right-wing parties want to dismantle Social Security, others just want to preserve it.",503,NA
43110,199910,The Greens want to shape the social Switzerland of the future with reforms.,503,NA
43110,199910,This includes a new supplementary benefit for children and the unemployed as well as a reform of the second pillar.,504,NA
43110,199910,"With modern concepts of the division of labor, we want to ensure",504,NA
43110,199910,that gainful and non-gainful work is distributed fairly among women and men.,503,NA
43110,199910,Sustainable with an opening of Switzerland.,107,NA
43110,199910,We want to join the European Union and the United Nations (UN).,107,NA
43110,199910,"Switzerland should have a say in Europe, as more and more decisions are being made there that also concern us.",108,NA
43110,199910,The Greens are already working closely with the European Greens.,108,NA
43110,199910,"By joining the UN, we strengthen Switzerland, assume global co-responsibility and show international solidarity.",107,NA
43110,199910,The Greens are an innovative and united party.,305,NA
43110,199910,"As the strongest non-government party, we don't have to take any false considerations.",305,NA
43110,199910,"As the party with the largest proportion of women among voters and on committees, we set the pace.",305,NA
43110,199910,"As a member of the European Greens, we are used to working together across borders.",108,NA
43110,199910,"In the coming years, the Greens will once again be the driving force for a sustainable Switzerland.",305,NA
43110,199910,"To this end, on the one hand, we seek to network with organizations and initiatives that work on issues that are important to us.",107,NA
43110,199910,"On the other hand, we are looking for majorities in parliament for our concerns.",305,NA
43110,199910,Sometimes the green-red third of the council puts pressure for change.,305,NA
43110,199910,"Sometimes we also advocate positions almost alone, which are only taken up later.",305,NA
43110,199910,"More and more often, we are part of a ""coalition of reason"", which is capable of winning a majority thanks to the merging of the green-red third with the more open part of the bourgeois parties.",305,NA
43110,199910,Many reforms began with a Green advance and ended - often years later - with a victory in the referendum.,305,NA
43110,199910,Real reform is only possible with us.,305,NA
43110,199910,Assuming responsibility by joining the EU and the UN and having a say where decisions are made,NA,NA
43110,199910,The Greens have a positive attitude toward European integration.,108,NA
43110,199910,European cooperation is necessary because ecology and social issues also require cross-border solutions.,108,NA
43110,199910,Switzerland must have a say in decisions that are also important for it.,108,NA
43110,199910,"Economic globalization requires, a fortiori, an international level capable of action.",107,NA
43110,199910,"Accession opens up opportunities, for example, for study and work stays in EU countries.",108,NA
43110,199910,But the EU also has weaknesses.,110,NA
43110,199910,"These are the same things that the Greens are fighting against in Switzerland: Short-term economic thinking, unecological policies, social deficits.",110,NA
43110,199910,"In addition, there is still a large democratic deficit.",110,NA
43110,199910,"Our Yes to Europe is therefore at the same time a Yes to changing the EU in an ecological, social and democratic direction.",108,NA
43110,199910,"To this end, as a member of the ""European Greens"", we work together with Greens in all European countries.",108,NA
43110,199910,The Greens are committed to a rapid start of accession negotiations with the EU.,108,NA
43110,199910,"After their result, a decision on accession is to be made.",108,NA
43110,199910,"At the same time, possible EU accession must be coupled with social and ecological reforms at home.",108,NA
43110,199910,"In the negotiations with the EU, framework conditions for maintaining an ecological transport policy in Switzerland must be achieved.",501,NA
43110,199910,Bilateral agreements between Switzerland and the EU:,108,NA
43110,199910,The Greens are calling for effective accompanying measures to the agreements on land and passenger transport (see also the chapter on transport).,108,NA
43110,199910,"Our thinking does not stop at the borders of ""Europe"".",107,NA
43110,199910,"In addition to a strong EU, it is imperative to have an influential UN.",107,NA
43110,199910,That is why we vehemently plead for Switzerland to join the UN as soon as possible.,107,NA
43110,199910,"Keywords: Rapid start of accession negotiations with the EU,",108,NA
43110,199910,"democratic reform in Switzerland with constructive referendum and negotiation guidelines initiative,",202,NA
43110,199910,"increased Swiss involvement in the OSCE and the Council of Europe,",107,NA
43110,199910,"Switzerland's commitment to an ecological and social WTO round,",107,NA
43110,199910,increase of the budget for development cooperation to OECD standards.,107,NA
43110,199910,"We are proactive: support for the ""Yes to Europe"" initiative",108,NA
43110,199910,and the UN accession initiative,107,NA
43110,199910,We think ahead: Green position on European policy.,000,NA
43110,199910,"Reduce energy consumption, phase out nuclear power and create jobs with ecological tax reform",NA,NA
43110,199910,"With the ""Yes"" to the energy article and the ""Yes"" to the nuclear moratorium, the people have set the guidelines for the energy policy of the future.",202,NA
43110,199910,"Nevertheless, there is still little sign of an energy turnaround.",416,NA
43110,199910,Energy prices are lower than ever before.,416,NA
43110,199910,This prevents the necessary efficiency revolution for the rational use of energy.,416,NA
43110,199910,Electricity market liberalization will reinforce this.,416,NA
43110,199910,We therefore want to gradually increase energy prices with an ecological tax reform.,416,NA
43110,199910,The proceeds of the energy tax are to be used to partially or fully finance social insurance.,403,NA
43110,199910,"This gives us a ""double dividend"": the reduction in environmental impact from the energy tax and the reduction in unemployment from the reduction in the cost of wages.",403,NA
43110,199910,The ecological tax reform promotes the entry into efficient energy use and the use of renewable energies and enables the phase-out of nuclear energy by 2014 at the latest.,416,NA
43110,199910,The Greens want to leave the risky nuclear path as quickly as possible.,416,NA
43110,199910,"Keywords: Follow-up program for ""Energy 2000"", immediate decommissioning of the old Mühleberg and Beznau nuclear power plants, decommissioning of the Gösgen and Leibstadt nuclear power plants as quickly as possible,",416,NA
43110,199910,"Redirection of research funds from nuclear and fusion energy to rational energy use and renewable energy sources,",416,NA
43110,199910,"Renunciation of uncontrolled repositories for nuclear waste,",416,NA
43110,199910,"To this end, development of a concept with retrievability and controllability,",501,NA
43110,199910,"Stop the reprocessing of nuclear waste,",501,NA
43110,199910,"Abandonment of the Wellenberg site,",501,NA
43110,199910,Avoiding the construction of further hydropower plants and pumped-storage reservoirs (Grimsel and others).,501,NA
43110,199910,"We are proactive: On May 22, 1996, the Green Party submitted the popular initiative ""For a secure AHV - tax energy instead of work.",416,NA
43110,199910,"We are co-sponsors of the ""Energy Environment Initiative"" as well as the initiatives ""Electricity without Nuclear"" and ""Moratorium Plus""",501,NA
43110,199910,We think ahead: Green position on energy policy,000,NA
43110,199910,"Documentation on the initiative ""Tax Energy Instead of Work""",000,NA
43110,199910,"10 Questions - 10 Answers on the initiative ""Tax Energy Instead of Work",000,NA
43110,199910,For a fair distribution of gainful and inactive work,NA,NA
43110,199910,Persistent unemployment is one of the biggest problems.,408,NA
43110,199910,The declining numbers in the unemployment statistics are deceptive:,408,NA
43110,199910,Many people have been disemployed and are no longer included in the statistics.,408,NA
43110,199910,"Even with an improved economic situation, a relatively high base unemployment rate will remain.",408,NA
43110,199910,Rising labor productivity - it takes less and less human labor to produce goods and services - exacerbates the problem.,416,NA
43110,199910,"By sharing the workload, people want to enable more people to participate in the workforce again.",503,NA
43110,199910,"At the same time, however, domestic, educational, care and community work should be distributed more equitably.",701,NA
43110,199910,"Today, this is done, mostly unpaid, mainly by women.",706,NA
43110,199910,"To this end, the Greens want to create market-based incentives (bonus-malus model for companies) and remove existing obstacles to family care based on partnership (for example, double coordination deduction in occupational pension plans).",706,NA
43110,199910,The Greens want to introduce a flexible retirement age from 62 for women and men.,706,NA
43110,199910,Social existence is not only based on paid work.,504,NA
43110,199910,"Therefore, the livelihood security in Switzerland must be improved.",504,NA
43110,199910,"While old-age insurance works well in most cases, a poverty trap exists for many life situations: single mothers and fathers, long-term unemployment, etc.",504,NA
43110,199910,"The Greens want to solve this problem with supplementary benefits and, in the longer term, a guaranteed subsistence level.",504,NA
43110,199910,"Keywords: reduction of daily, weekly or annual working hours (by means of economic incentives = bonus-malus system for AHV/ALV contributions);",416,NA
43110,199910,Interruption of gainful employment for further training;,506,NA
43110,199910,Promotion of part-time positions in public administration;,504,NA
43110,199910,Promotion of a supplementary labor market for labor market and social reintegration;,504,NA
43110,199910,Reintegration minimum subsistence level;,504,NA
